,algorithm,error_type_I,error_type_II,imputation_method,missing_data_percentage,true_negatives,true_positives
167,G_Means,12.1,18.5,Mean_Imputation,70,184.9,18.5
168,K-Means,18.6,6.3,Interpolation_Imputation,70,178.4,30.7
169,Fuzzy_C_Means,12.2,14.0,Interpolation_Imputation,70,184.8,23.0
170,DBSCAN_Center,12.6,15.6,Interpolation_Imputation,70,184.4,21.4
171,Affinity_Propagation,17.8,7.1,Interpolation_Imputation,70,179.2,29.9
172,GMM,9.2,35.4,Interpolation_Imputation,70,187.8,1.6
173,G_Means,14.4,9.4,Interpolation_Imputation,70,182.6,27.6
174,K-Means,17.0,12.1,KNN_Imputation_N_3,70,180.0,24.9
175,Fuzzy_C_Means,12.4,21.2,KNN_Imputation_N_3,70,184.6,15.8
176,DBSCAN_Center,11.0,21.4,KNN_Imputation_N_3,70,186.0,15.6
177,Affinity_Propagation,17.6,11.6,KNN_Imputation_N_3,70,179.4,25.4
178,GMM,9.8,32.7,KNN_Imputation_N_3,70,187.2,4.3
179,G_Means,13.6,18.8,KNN_Imputation_N_3,70,183.4,18.2
180,K-Means,17.8,13.2,Mean_Imputation,80,179.2,23.8
181,Fuzzy_C_Means,12.8,25.0,Mean_Imputation,80,184.2,12.0
182,DBSCAN_Center,18.0,18.8,Mean_Imputation,80,179.0,18.2
183,Affinity_Propagation,16.6,13.0,Mean_Imputation,80,180.4,24.0
184,GMM,10.7,31.3,Mean_Imputation,80,186.3,5.7
185,G_Means,11.8,21.1,Mean_Imputation,80,185.2,15.9
186,K-Means,18.1,7.6,Interpolation_Imputation,80,178.9,29.4
187,Fuzzy_C_Means,14.0,18.3,Interpolation_Imputation,80,183.0,18.7
188,DBSCAN_Center,18.0,14.4,Interpolation_Imputation,80,179.0,22.6
189,Affinity_Propagation,19.6,6.9,Interpolation_Imputation,80,177.4,30.1
190,GMM,11.1,31.3,Interpolation_Imputation,80,185.9,5.7
191,G_Means,13.0,14.9,Interpolation_Imputation,80,184.0,22.1
192,K-Means,15.6,13.2,KNN_Imputation_N_3,80,181.4,23.8
193,Fuzzy_C_Means,12.7,24.7,KNN_Imputation_N_3,80,184.3,12.3
194,DBSCAN_Center,20.0,19.7,KNN_Imputation_N_3,80,177.0,17.3
195,Affinity_Propagation,19.0,10.5,KNN_Imputation_N_3,80,178.0,26.5
196,GMM,9.7,32.3,KNN_Imputation_N_3,80,187.3,4.7
197,G_Means,13.5,23.5,KNN_Imputation_N_3,80,183.5,13.5
198,K-Means,15.5,17.4,Mean_Imputation,90,181.5,19.6
199,Fuzzy_C_Means,10.8,31.0,Mean_Imputation,90,186.2,6.0
200,DBSCAN_Center,10.4,29.2,Mean_Imputation,90,186.6,7.8
201,Affinity_Propagation,14.7,20.1,Mean_Imputation,90,182.3,16.9
202,GMM,10.3,31.9,Mean_Imputation,90,186.7,5.1
203,G_Means,11.2,27.3,Mean_Imputation,90,185.8,9.7
204,K-Means,14.0,17.1,Interpolation_Imputation,90,183.0,19.9
205,Fuzzy_C_Means,10.6,31.9,Interpolation_Imputation,90,186.4,5.1
206,DBSCAN_Center,9.0,33.0,Interpolation_Imputation,90,188.0,4.0
207,Affinity_Propagation,11.3,26.6,Interpolation_Imputation,90,185.7,10.4
208,GMM,8.5,34.9,Interpolation_Imputation,90,188.5,2.1
209,G_Means,10.3,29.2,Interpolation_Imputation,90,186.7,7.8
210,K-Means,14.3,24.3,KNN_Imputation_N_3,90,182.7,12.7
211,Fuzzy_C_Means,10.6,32.7,KNN_Imputation_N_3,90,186.4,4.3
212,DBSCAN_Center,11.7,30.7,KNN_Imputation_N_3,90,185.3,6.3
213,Affinity_Propagation,13.3,25.0,KNN_Imputation_N_3,90,183.7,12.0
214,GMM,10.2,32.5,KNN_Imputation_N_3,90,186.8,4.5
215,G_Means,9.8,31.7,KNN_Imputation_N_3,90,187.2,5.3
