,algorithm,error_type_I,error_type_II,imputation_method,missing_data_percentage,true_negatives,true_positives
118,GMM,7.88,35.8,KNN_Imputation_N_7,20,189.12,1.2
119,G_Means,13.56,7.12,KNN_Imputation_N_7,20,183.44,29.88
120,K-Means,16.4,7.0,Mean_Imputation,25,180.6,30.0
121,Fuzzy_C_Means,13.12,8.24,Mean_Imputation,25,183.88,28.76
122,DBSCAN_Center,6.36,23.8,Mean_Imputation,25,190.64,13.2
123,Affinity_Propagation,16.4,8.2,Mean_Imputation,25,180.6,28.8
124,GMM,7.92,35.76,Mean_Imputation,25,189.08,1.24
125,G_Means,12.8,8.4,Mean_Imputation,25,184.2,28.6
126,K-Means,16.28,11.76,Interpolation_Imputation,25,180.72,25.24
127,Fuzzy_C_Means,11.8,13.96,Interpolation_Imputation,25,185.2,23.04
128,DBSCAN_Center,10.68,13.6,Interpolation_Imputation,25,186.32,23.4
129,Affinity_Propagation,14.52,15.4,Interpolation_Imputation,25,182.48,21.6
130,GMM,1.68,37.0,Interpolation_Imputation,25,195.32,0.0
131,G_Means,11.8,13.56,Interpolation_Imputation,25,185.2,23.44
132,K-Means,16.48,6.56,KNN_Imputation_N_3,25,180.52,30.44
133,Fuzzy_C_Means,12.48,8.56,KNN_Imputation_N_3,25,184.52,28.44
134,DBSCAN_Center,8.04,29.64,KNN_Imputation_N_3,25,188.96,7.36
135,Affinity_Propagation,17.16,7.76,KNN_Imputation_N_3,25,179.84,29.24
136,GMM,7.8,35.68,KNN_Imputation_N_3,25,189.2,1.32
137,G_Means,12.44,8.52,KNN_Imputation_N_3,25,184.56,28.48
138,K-Means,16.64,6.48,KNN_Imputation_N_7,25,180.36,30.52
139,Fuzzy_C_Means,12.88,8.48,KNN_Imputation_N_7,25,184.12,28.52
140,DBSCAN_Center,5.24,22.64,KNN_Imputation_N_7,25,191.76,14.36
141,Affinity_Propagation,16.72,8.04,KNN_Imputation_N_7,25,180.28,28.96
142,GMM,7.92,35.88,KNN_Imputation_N_7,25,189.08,1.12
143,G_Means,13.6,7.72,KNN_Imputation_N_7,25,183.4,29.28
144,K-Means,15.24,7.32,Mean_Imputation,35,181.76,29.68
145,Fuzzy_C_Means,12.76,9.0,Mean_Imputation,35,184.24,28.0
146,DBSCAN_Center,8.4,21.76,Mean_Imputation,35,188.6,15.24
147,Affinity_Propagation,16.08,8.88,Mean_Imputation,35,180.92,28.12
148,GMM,8.36,35.6,Mean_Imputation,35,188.64,1.4
149,G_Means,13.12,8.4,Mean_Imputation,35,183.88,28.6
150,K-Means,14.84,16.2,Interpolation_Imputation,35,182.16,20.8
151,Fuzzy_C_Means,12.08,17.6,Interpolation_Imputation,35,184.92,19.4
152,DBSCAN_Center,14.12,16.4,Interpolation_Imputation,35,182.88,20.6
153,Affinity_Propagation,12.88,20.24,Interpolation_Imputation,35,184.12,16.76
154,GMM,6.48,37.0,Interpolation_Imputation,35,190.52,0.0
155,G_Means,13.2,17.0,Interpolation_Imputation,35,183.8,20.0
156,K-Means,15.92,7.48,KNN_Imputation_N_3,35,181.08,29.52
157,Fuzzy_C_Means,13.72,8.4,KNN_Imputation_N_3,35,183.28,28.6
158,DBSCAN_Center,9.52,21.6,KNN_Imputation_N_3,35,187.48,15.4
159,Affinity_Propagation,17.04,8.36,KNN_Imputation_N_3,35,179.96,28.64
160,GMM,8.44,35.8,KNN_Imputation_N_3,35,188.56,1.2
161,G_Means,13.16,8.8,KNN_Imputation_N_3,35,183.84,28.2
162,K-Means,17.36,6.96,KNN_Imputation_N_7,35,179.64,30.04
163,Fuzzy_C_Means,14.16,7.96,KNN_Imputation_N_7,35,182.84,29.04
164,DBSCAN_Center,9.76,21.52,KNN_Imputation_N_7,35,187.24,15.48
165,Affinity_Propagation,17.8,7.52,KNN_Imputation_N_7,35,179.2,29.48
166,GMM,8.36,35.44,KNN_Imputation_N_7,35,188.64,1.56
167,G_Means,14.28,7.68,KNN_Imputation_N_7,35,182.72,29.32
168,K-Means,16.44,8.4,Mean_Imputation,50,180.56,28.6
169,Fuzzy_C_Means,14.2,10.16,Mean_Imputation,50,182.8,26.84
170,DBSCAN_Center,10.16,22.4,Mean_Imputation,50,186.84,14.6
171,Affinity_Propagation,17.64,8.6,Mean_Imputation,50,179.36,28.4
172,GMM,8.76,35.08,Mean_Imputation,50,188.24,1.92
173,G_Means,13.24,10.84,Mean_Imputation,50,183.76,26.16
174,K-Means,15.44,20.64,Interpolation_Imputation,50,181.56,16.36
175,Fuzzy_C_Means,14.4,20.76,Interpolation_Imputation,50,182.6,16.24
176,DBSCAN_Center,18.08,22.2,Interpolation_Imputation,50,178.92,14.8
177,Affinity_Propagation,12.44,24.44,Interpolation_Imputation,50,184.56,12.56
178,GMM,7.0,36.96,Interpolation_Imputation,50,190.0,0.04
179,G_Means,13.36,21.08,Interpolation_Imputation,50,183.64,15.92
180,K-Means,17.04,8.52,KNN_Imputation_N_3,50,179.96,28.48
181,Fuzzy_C_Means,14.68,10.12,KNN_Imputation_N_3,50,182.32,26.88
182,DBSCAN_Center,10.04,24.32,KNN_Imputation_N_3,50,186.96,12.68
183,Affinity_Propagation,17.24,9.16,KNN_Imputation_N_3,50,179.76,27.84
184,GMM,8.96,34.88,KNN_Imputation_N_3,50,188.04,2.12
185,G_Means,13.92,11.12,KNN_Imputation_N_3,50,183.08,25.88
186,K-Means,16.24,8.4,KNN_Imputation_N_7,50,180.76,28.6
187,Fuzzy_C_Means,13.48,10.4,KNN_Imputation_N_7,50,183.52,26.6
188,DBSCAN_Center,8.84,22.08,KNN_Imputation_N_7,50,188.16,14.92
189,Affinity_Propagation,16.16,8.88,KNN_Imputation_N_7,50,180.84,28.12
190,GMM,8.6,34.88,KNN_Imputation_N_7,50,188.4,2.12
191,G_Means,13.52,10.56,KNN_Imputation_N_7,50,183.48,26.44
